Date,Price,Open,High,Low,Vol.,Change %
12/17/19,556.25,553.25,557.25,545,68.51K,1.18%
12/16/19,549.75,534.75,556.75,534.75,95.74K,1.95%
12/13/19,539.25,533.38,536.38,525.62,0.08K,0.00%
12/12/19,539.25,529.75,544,528.75,0.06K,1.60%
12/11/19,530.75,534.5,534.5,528,0.14K,-0.75%
12/10/19,534.75,532.25,537.5,529.75,0.29K,0.52%
12/9/19,532,532.5,533.25,531,0.17K,-0.09%
12/6/19,532.5,532.75,532.75,529,0.36K,0.09%
12/5/19,532,535.25,537.5,531.75,0.40K,-0.56%
12/4/19,535,531,535.5,529.5,0.35K,0.85%
12/3/19,530.5,545.75,548,532,0.92K,-2.35%
12/2/19,543.25,549.5,549.75,542.75,0.78K,-0.78%
11/29/19,547.5,532.5,550.5,532.5,3.36K,4.06%
11/28/19,526.12,526.25,526.25,526.12,-,-0.45%
11/27/19,528.5,530,533,525.75,19.20K,-0.33%
11/26/19,530.25,530.75,531.75,525.5,28.01K,-0.14%
11/25/19,531,515,532.5,515,44.72K,3.06%
11/22/19,515.25,509.25,518.5,508.25,46.92K,1.23%
11/21/19,509,515,519.5,508.25,35.38K,-1.26%
11/20/19,515.5,512,515.75,508,38.14K,0.68%
11/19/19,512,506.25,515.25,506,69.37K,0.94%
11/18/19,507.25,503.25,510.75,498.5,59.87K,0.90%
11/15/19,502.75,507.75,508.5,501.5,50.34K,-0.98%
11/14/19,507.75,508.75,512,505.5,53.54K,-0.25%
11/13/19,509,516.5,516.75,506.5,72.65K,-1.55%
11/12/19,517,506.25,517.25,505.25,78.05K,2.22%
11/11/19,505.75,508,510.5,503.75,78.29K,-0.88%
11/8/19,510.25,512.5,517.75,505.5,79.54K,-0.44%
11/7/19,512.5,517.5,519.75,511,71.05K,-0.82%
11/6/19,516.75,515.5,521.75,513.5,62.21K,0.29%
11/5/19,515.25,511,516,509,51.55K,1.08%
11/4/19,509.75,514.25,515.25,508,39.53K,-1.21%
11/1/19,516,508.75,516.5,506.75,53.60K,1.43%
10/31/19,508.75,510,512.25,501,63.62K,-0.10%
10/30/19,509.25,511.25,514,507,35.34K,-0.44%
10/29/19,511.5,513,516,508.25,51.56K,-0.05%
10/28/19,511.75,518,518.5,510,50.22K,-1.16%
10/25/19,517.75,517.25,522,514.5,40.23K,0.34%
10/24/19,516,522.5,523.75,515.5,36.21K,-0.91%
10/23/19,520.75,518,523.75,515.75,42.80K,0.53%
10/22/19,518,523,532.25,517.25,52.26K,-1.05%
10/21/19,523.5,532,535,522.75,53.54K,-1.64%
10/18/19,532.25,526,532.75,521,56.24K,1.28%
10/17/19,525.5,514.25,527,512.75,66.63K,2.39%
10/16/19,513.25,505.75,514.25,504.5,49.00K,1.23%
10/15/19,507,510,511.25,504.25,38.05K,-0.78%
10/14/19,511,513,515,506.75,52.20K,0.59%
10/11/19,508,491.75,512.75,491.25,84.74K,3.04%
10/10/19,493,499.5,504.25,487.5,68.28K,-1.45%
10/9/19,500.25,500.5,504.5,497.25,46.02K,0.00%
10/8/19,500.25,489.75,502.25,486.75,58.66K,2.25%
10/7/19,489.25,492,494.5,488.5,35.06K,-0.25%
10/4/19,490.5,489.25,492.25,486.5,28.76K,0.36%
10/3/19,488.75,488,493,485.75,31.84K,-0.05%
10/2/19,489,496.5,499,485.25,55.28K,-1.95%
10/1/19,498.75,496.5,499.25,489.75,59.42K,0.61%
9/30/19,495.75,488,501,483.25,78.10K,1.74%
9/27/19,487.25,486,490.5,482.5,36.02K,0.62%
9/26/19,484.25,477,486.75,476.75,47.41K,1.47%
